IMO number,MMSI,Name of the ship,Former names,Vessel type,Operating status,Flag,Gross tonnage,Deadweight,Length,Breadth,Year of build,Builder,Description,Seafarers worked on,Open vacancies on,Vessel MLC insurance,Classification society,Home port,Owner,Manager,Engine type,Engine power
,,,,,,,,,,,,,,https://www.balticshipping.com/vessel/imo/7514658/seafarers,No open vacancies on this ship,,,,,,,
,,,,,,,,,,,,,,,,Nothing found,,,,,,
7514660,,ARIUS,SAGITTARIUS(1996)PONTOON 400(1988)FEDERAL 400 5(1987),Barge,Active,Bahrain,5385tons,15511tons,121m,30m,1975,"TSUNEISHI SHIPBUILDING - FUKUYAMA, JAPAN","ARIUS is a Barge built in 1975 by TSUNEISHI SHIPBUILDING - FUKUYAMA, JAPAN. Currently sailing under the flag of Bahrain. Formerly also known as SAGITTARIUS, PONTOON 400, FEDERAL 400 5. It's gross tonnage is 5385 tons.",,,,BUREAU VERITAS,,"OIL MARKETING - MANAMA, BAHRAIN","OIL MARKETING - MANAMA, BAHRAIN",,
,,,,,,,,,,,,,,No sea service records found,No open vacancies on this ship,,,,,,,
,,,,,,,,,,,,,,,,Nothing found,,,,,,
7514684,366906610,WALTER J.MCCARTHY JR.,"WALTER J MCCARTHY JR(2018, United States (USA))WAMDER J MCCARTHY JR(2017, United States (USA))BELLE RIVER(1990)",Bulk carrier,Active,United States (USA),35652tons,92076tons,304m,32m,1977,"FMG BAY SHIPBUILDING - STURGEON BAY WI, U.S.A.","WALTER J.MCCARTHY JR. is a Bulk carrier built in 1977 by FMG BAY SHIPBUILDING - STURGEON BAY WI, U.S.A.. Currently sailing under the flag of United States (USA). Formerly also known as WALTER J MCCARTHY JR, WAMDER J MCCARTHY JR, BELLE RIVER. It's gross tonnage is 35652 tons.",,,,AMERICAN BUREAU OF SHIPPING,WILMINGTON DE,"ARMSTRONG STEAMSHIP - WILMINGTON DE, United States (USA)","ARMSTRONG STEAMSHIP - WILMINGTON DE, United States (USA)",,
,,,,,,,,,,,,,,No sea service records found,No open vacancies on this ship,,,,,,,
,,,,,,,,,,,,,,,,Nothing found,,,,,,
7514696,367120990,AMERICAN INTEGRITY,OGLEBAY NORTON(2006)LEWIS WILSON FOY(1991),Bulk carrier,Active,United States (USA),35652tons,92072tons,304m,32m,1978,"FMG BAY SHIPBUILDING - STURGEON BAY WI, U.S.A.","AMERICAN INTEGRITY is a Bulk carrier built in 1978 by FMG BAY SHIPBUILDING - STURGEON BAY WI, U.S.A.. Currently sailing under the flag of United States (USA). Formerly also known as OGLEBAY NORTON, LEWIS WILSON FOY. It's gross tonnage is 35652 tons.",,,,AMERICAN BUREAU OF SHIPPING,WILMINGTON DE,"AMERICAN STEAMSHIP - WILLIAMSVILLE NY, United States (USA)","AMERICAN STEAMSHIP - WILLIAMSVILLE NY, United States (USA)",,
,,,,,,,,,,,,,,No sea service records found,No open vacancies on this ship,,,,,,,
,,,,,,,,,,,,,,,,Nothing found,,,,,,
